,time,src,dst,seq,ack,len,payload,role
64,1.208077,123.57.84.206,192.168.65.66,2562,237,89,"b'\x02Eq@Xa\x80G\xac{\x08\x0f\xf7\xfay\x86}mj\xf7V\x8bN\x050""\x9b\x84p=\x9fY\xaf\xa3\x02z.\x8b\x16\xbd\x1e\xfe\xeb\x03\xb1\x03\xdf\x00\xe2\xdd\x86h\x12\x14\xc1\xb4\xb3\x83B\x98\xc6\xa2\xfe\xf7\xf5A\xa4\xa5\xad \x0f\x1c\xac8[\xf0\x97<X\x8fV\x9e\x1a\xe4=\x9a\xdf\xa6k'",0
65,1.241424,192.168.65.66,123.57.84.206,265,2651,28,"b""\xbe7BP\xb2 ;\xb3Xi\xb0\xd8\xbeB\xacc\xa6\xa1Ha\xdfz\xb5\xb6'\x8b\xd2R""",1
66,1.258208,123.57.84.206,192.168.65.66,2651,265,112,b'oi\x97\xdb\x0b\r\xfe\x94\xc2R\x80\xf6\xdd!S^z\xa1\xadz\x93)i>\xd2 \xb7\xfawPnd0S\xc60T\xdb\x80uC\xbc\xf6\x17 \xdc\xfa\x9e4\xeb;\x8a\xf6=\xd2\x8a}.\x1fL\xdb\xfflNx\xb0m-\xe7A\xf9\xbe\x80\xfb\xc9\xb6\x11\x86\xceG\x861w\x1f\x11\xe2G\xde\xba\xf0i-\xd6W\xf2\xcbUW\x82\x15\x1f\x7fRs\xbee\x1fb{\xdf\xffO',0
67,1.289875,192.168.65.66,123.57.84.206,293,2763,28,b'\xf4\xc2k\xd9\xba\x96vL\xf1gI\xa3/\xfc\xb3\x05\xda\x10^H\xbb\x84k\t\x9a\x85\xd9l',1
68,1.307971,123.57.84.206,192.168.65.66,2763,293,45,"b'\xb51gX;z L\xb2=JYx\x0b\x07\xea  mG[\x85\xba\x82\xf9S$,/\xaf\xe8\x1f*)\x1f\xe9\xa8<\x99O\x95\x81\x7f\xc9}'",0
69,1.307971,123.57.84.206,192.168.65.66,2808,293,6,b'.Y7:\x1f\x0c',0
70,1.308053,192.168.65.66,123.57.84.206,321,2814,0,,1
71,1.338296,192.168.65.66,123.57.84.206,321,2814,28,"b'\xc0\xfb\xf3%\x16\xb8)l\xff\xab\x1fYL_7\xed\xa0\x16\xd7\xfa\x93\x9bw\x8c\x80\xf0\xfe""'",1
72,1.358991,123.57.84.206,192.168.65.66,2814,321,77,"b'\x19/\xae\xc29\x0e\xaf\xd6e\xdd\xb0b\xc4\xe7\xaa\x83\x8c  Es\xe9\x8fO$!9\xbe\xa2\xd6v\x88\x01Z\xfe\xaf|s\xda\xb1\x1c\x7f\xbb\xce\xdeP\x87\x85\x99\xc0\x04\xb8A\xc8\xfc\x9e\xee\x92\x15^\xb9,\xe0\xd6\x83\xb4H\xa3\xf9\x8e\x8c\x9b4\xee\xfc\xd9B'",0
73,1.386849,192.168.65.66,123.57.84.206,349,2891,28,b'1\xc8\x8fS\x11\xe0\xa1q\xbb\xca\xcf\x04\x03op\\\x01}\x8c!E\xa7\xb2L\xe8\x8bt\xef',1
74,1.406939,123.57.84.206,192.168.65.66,2891,349,72,"b'\x9f\xc6\xd9m\x08$\xd2\xa4\xc4x\xfb?\xd4\xbb\xcf^\xf7\x19\x8b\xb8X\x08\x98J\xfe\x1b%\xa3\xbc1\xae""j\x90\x8cs\x86\x06\x03\xfc\xb9\x19`\xd4%\xb0\t\x9d\x18\x0c\x88]%#\x1ei6\xaa\x1d\x04\xd2\xfe$N\xf6}(Fw2\xe8\xab'",0
75,1.441666,192.168.65.66,123.57.84.206,377,2963,28,"b'\x86\x19\xc2\xa5\xaa\xdb\xf8\xca\x03\xf7\xbcz2\xf6\x11\x89\x8f""X\xc3\xa4\xb1{2Q\xf7\xb89'",1
76,1.458485,123.57.84.206,192.168.65.66,2963,377,51,"b'\xa0\x97\xa4\\>\xbf\xf9\x17u;FB\xc1\xcc\x15\xae\xd8\xbc\xf2-%g\xec\x90\xfe\x02\xd9\xf4\x85\xa6.\xa6\x0czw\xc22\xc3q\xfa\x8e\x9c\x05b""Y\x9b\xf1\x97>\\'",0
77,1.490049,192.168.65.66,123.57.84.206,405,3014,28,"b""\x1b\x9c4Pm;\xf2\xd0%\xfe\xc7@\x9c\x99cd\x07s\x03'\x12\x981\r\x80\xe48\x1a""",1
78,1.507789,123.57.84.206,192.168.65.66,3014,405,83,"b'\xa8\xf8\x10\x84\xebA^\xd8\xc9H\xc1\xa5(\xd8\x1a\xe2\xb0\x1c\'\xb7tylr\xa8\\\x81\x8a\x92\x08\xb7,$e\x8bN\x02\x03H\x97F!\xcd\xe9\xc9w\xbe\xe6\xaf\x1e\x87\xc6\xf4\x1e.r\xaf$tY\xbf@\x0c#S\x16\xc8D;\xe0\xfa\r\xd8T""!\x1e\xfcD\x1b\x18\x05\x1f'",0
79,1.538084,192.168.65.66,123.57.84.206,433,3097,28,b'8|\xd1\x9b%\x95\x8bo\xf1E@#\xee\xb9\x91\x83\n\xf5K%f\xb9\x15\x82\xd4\xa20Y',1
80,1.556942,123.57.84.206,192.168.65.66,3097,433,19,"b'\x8a\xcenB\x1c%\xa2\x8f~9\xe6Hf\x96\xa8,\x12@$'",0
81,1.556942,123.57.84.206,192.168.65.66,3116,433,66,b'p\x99\x97\x0c\x98\xedC\x9cl\x15\xd3\xd4\xf96s\xeb\x06[V\xd0T\xf3R\n\xdd\xe2L\x06\xa3a\xed\xf5(\x99\xc3\xa04\xaf.\xc34\xb0\x83\xb9\x071\xe0u\xb6\x18\x92\xfb\xbe\xf2\x90N!\x98\x11\x8f\x0cp\xedi\xf4{',0
82,1.557022,192.168.65.66,123.57.84.206,461,3182,0,,1
83,1.586912,192.168.65.66,123.57.84.206,461,3182,28,b'\xb2\xce\x03B/\xef\x0f\xe2a\xf3\x12\x8c\xfc$\x80\xfb\x04^r\x1a\x98D$\xf1\xec4\xec\x05',1
84,1.607472,123.57.84.206,192.168.65.66,3182,461,13,b'\x0e0\xe9\xf3%\xdc\xda\x08\xba\x0f\x93\xd6\xba',0
85,1.607472,123.57.84.206,192.168.65.66,3195,461,57,"b']C""\x93\x7f\xcb\x0c5E\x1a\xb4\x9d\x01\xae\xa6\xb6\x89\x82;C\xb64 \xa6U.\x1aU\x88TC2\x0b\xd8\x04\x92=@s\x96\xfe\xf2\x1a\xc7\xe9i\x1eNh\xb7\xba \x06%\x02*D'",0
86,1.607551,192.168.65.66,123.57.84.206,489,3252,0,,1
87,1.641791,192.168.65.66,123.57.84.206,489,3252,28,b'\xb7\xb7%\xc2\xaa\xa0\x82\x91\xc3P\xad%\x08\xde\x9d]}\xa8iw\xfe}\xc4\x03\x06?\xec\x18',1
88,1.658042,123.57.84.206,192.168.65.66,3252,489,110,b'\x89Q\xf0l=\xea\xdbV-kI\xce\x84F\xcc\xc5\xb1<JE\x934f\xc6$x\x1a\xe4\xca\x1c\xfd_\x19=\x90\x98\x07\x93U\xa0\xc8\xd9\x9d\x87\xa4\xe8\xeb\xde\x15\x08\t\x9cb\xc9\x0eW\xf8h\xfb\x8al#\x1aX\xe4z\xb9\x83\xd1\x8dF94r\xf7A\xf8\x01\x0e\x7f\x8d\x0c\xd3\xd0\xc4\t\xe4\xfc\x08\x9e\xcd\xdcW\xbd\xd4R\xbd}\xf9\xd9\xec\x0f\xeb\x08ID\xe0\xac\xf6\x1a',0
89,1.68999,192.168.65.66,123.57.84.206,517,3362,28,b'\xee\xca\xc2\xc8\r$\xf4\x16\x17 \xe70\x0e\xb1\xa0\xcf\x07&\xf8\xadf\xad\x9ae\x9f7\xd3\x02',1
90,1.70734,123.57.84.206,192.168.65.66,3362,517,13,b'\xfc\x7f\xf5\x9c}\x9c\xed\xa2]\xafL\x1fx',0
91,1.70734,123.57.84.206,192.168.65.66,3375,517,66,b'\xa5(\x00\x01\xaa\xe8\x04-\x87\xd71\x9d\x96 \xa4\xc9\x18\xde\x950x\xd9\xa7\xbe\x12\xd0\x7f\xca\xf2\x9b\xc2Z\xdc\x92\x8c\x9ay\x90\xf2s\xf9\xc4 5\x0e\xbd\r\xde\xe8\x02\xd4\xca\xea%?\xab\x88a8 \xfc\x1f\x04\x8a:G',0
92,1.70742,192.168.65.66,123.57.84.206,545,3441,0,,1
